text,name,favourite_count,retweet_count,created_at,polaridad,subjetividad,sentiment,neg,neu,pos,compound
Esto ya esta esta llegando maado lejos exijimos   borre todos s articus es y BH tome medidas legales…,mel7,0,3603,2021-06-21 04:09:41,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Esto ya esta esta llegando maado lejos exijimos   borre todos s articus es y BH tome medidas legales…,🌸Ⓐⓡⓘⓘⓣⓩⓔⓛ🧈🇲🇽,0,3603,2021-06-21 03:44:56,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Que pa   gte aún  niegue a aceptar   grupo   idioma totalmte distinto pueda lirar listas importantes…,⟭⟬ᴮᴱ𝕊𝕙𝕒𝕣𝕠𝕞 ⁷ Bangtan,0,3,2021-06-21 03:22:17,0.0,0.0,neutral,0.0,1.0,0.0,0.0
El ARMY exige a disculpa  BTS por s comtarios gerados.....DisculpateMikeSilvero DisculpateABCCOLOR ElRacismoNoEsLibertadDeExpreon RacismIsNotFreedomOfExpreson ApogizeMikeSilvero NUNCAMASSOMOSGEN ApogizeABCCOLOR,Leidy Rodriguez,1,0,2021-06-21 03:14:54,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Esto ya esta esta llegando maado lejos exijimos   borre todos s articus es y BH tome medidas legales…,• dt_pk⁷ 💜•,0,3603,2021-06-21 02:43:03,0.0,0.0,neutral,0.0,1.0,0.0,0.0
El pto  vista objetivo  respeta.A s  ti  lujo  comicar culturíce infórme;  saber es  lujo  muy pocos  utilizan. No pan peda iversal abordando temas con tinte humoral s  sconocimitoDisculpateABCCOLOR DisculpateMikeSilvero ,Analia Fretes 🇵🇾,1,0,2021-06-21 02:41:10,0.0,0.0,negative,0.052,0.948,0.0,-0.296
EXIGIMOS  DISCULPA!!DisculpateMikeSilveroDisculpateABCCOLORElRacismoNoEsLibertadDeExpreonRacismIsNotFreedomOfExpreson ApogizeABCCOLOR ,la esposa de SUGA,0,0,2021-06-21 02:25:29,0.0,0.0,neutral,0.0,1.0,0.0,0.0
A nosotros tampoco nos va a pesar cirle  basura  fue e programa ApogizeMikeSilveroNUNCAMASSOMOSGENDisculpat…,Marina Sánchez Espinoza,0,551,2021-06-21 01:49:32,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Ni  chiste ni  parodia ni  ningún momto lmes producto a personas   esforzaron tanto por llega…,Marina Sánchez Espinoza,0,23,2021-06-21 01:49:12,0.0,0.0,neutral,0.0,1.0,0.0,0.0
💬 “Pin respeto s sus propias bocas  no tin  gnificado   pabra libertad e imprcia son crame…,Marina Sánchez Espinoza,0,267,2021-06-21 01:48:41,0.0,0.0,negative,0.104,0.896,0.0,-0.296
QUEREMOS RESPETO EXIGIMOS  DISCULPA DisculpateMikeSilveroApogizeMikeSilveroRACISMISNOTCOMEDYDisculpateABCCO…,Marina Sánchez Espinoza,0,8,2021-06-21 01:46:15,0.0,0.0,neutral,0.0,1.0,0.0,0.0
ATENCIÓN ‼️Ya hay a pntil    vi y así  puedan tomar acciones legales no pomos darnos  hacer n…,Marina Sánchez Espinoza,0,540,2021-06-21 01:39:00,0.0,0.0,negative,0.087,0.913,0.0,-0.296
No más hate DisculpateMikeSilveroApogizeMikeSilveroRACISMISNOTCOMEDYDisculpateABCCOLOR ApogizeABCCOLOR,Karenemp,1,0,2021-06-21 01:38:58,-0.8,0.9,negative,0.496,0.504,0.0,-0.7096
Estamos cansados   xofobia y  odio injustificado. Por qué discriminas? Por qué invtas cosas. Los chicos  ya ha te…,Marina Sánchez Espinoza,0,1362,2021-06-21 01:38:45,0.0,0.0,positive,0.0,0.897,0.103,0.34
Es a falta  ética y falta  respeto hacia btsasí  disculp                                  DisculpateMik…,Marina Sánchez Espinoza,0,3,2021-06-21 01:33:36,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Apoyamos a  por amor DisculpateMikeSilveroDisculpateABCCOLORElRacismoNoEsLibertadDeExpreonRacismIsNotFreed…,Marina Sánchez Espinoza,0,2,2021-06-21 01:33:33,0.0,0.0,positive,0.0,0.692,0.308,0.6124
Pedimos disculpas  👇🏼👇🏼👇🏼 ApogizeABCCOLORDisculpateABCCOLORArmymamis 🧡🌸 ,Marina Sánchez Espinoza,0,12,2021-06-21 01:32:48,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Nosotras apoyamos  arte!!! 💜💜Lo  andan difdido es totalmte falso. ... Pidan disculpas por favor.!!Discu…,Marina Sánchez Espinoza,0,10,2021-06-21 01:32:03,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Esos medios  habr so por habr dan cólera!DisculpateABCCOLOR ,Marina Sánchez Espinoza,0,7,2021-06-21 01:32:00,0.0,0.0,neutral,0.0,1.0,0.0,0.0
🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨Aviso Armymamis amos fuerzas con  resto  Armys l mdo  publicar  Twitter pidido a disculpa…,Marina Sánchez Espinoza,0,5,2021-06-21 01:31:40,0.0,0.0,neutral,0.0,1.0,0.0,0.0
 ¿ Aún no ties s pantanes  disculparte ? es   esperábamos  a persona  tú. DisculpateMikeSilvero DisculpateABCCOLOR NUNCAMASSOMOSGEN ApogizeABCCOLOR,Monserrat,1,0,2021-06-21 01:15:48,0.0,0.0,negative,0.095,0.905,0.0,-0.296
VEN? HASTA ELLOS LO SABEN SABEN QUE SOMOS CAPACES DE DEFENDERLOS  Y UN MILLÓN DE VECES SABEN QUE SOMOS CAPACES DE…,Jimin_2.15@hotmail.com,0,92,2021-06-21 00:45:08,0.0,0.0,neutral,0.0,1.0,0.0,0.0
JIMIN Y Becky g dijeron  La gte  crítica mplemte me da pa. La Rap líne dijeron  Ustes vidioso rtido…,Jimin_2.15@hotmail.com,0,145,2021-06-21 00:44:50,0.0,0.0,neutral,0.0,1.0,0.0,0.0
DisculpateABCCOLOR DisculpateMikeSilvero ARMY exige a disculpa ncera!!,Elisua,0,0,2021-06-21 00:28:06,0.0,0.0,neutral,0.0,1.0,0.0,0.0
❗COPIEN Y PEGUEN PARA HACER TENDENCIA❗EXIGIMOS  DISCULPA ESTO ES  PROFESIONALISMODisculpateMikeSilveroDisculpat…,MIN06,0,726,2021-06-21 00:24:57,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Exigimos  iminación  s artícus publicados amás  a disculpa pública por s comtarios hechos  día  aye…,MIN06,0,385,2021-06-21 00:24:33,0.0,0.0,neutral,0.0,1.0,0.0,0.0
❗COPIEN Y PEGUEN PARA HACER TENDENCIA❗EXIGIMOS  DISCULPA ESTO ES  PROFESIONALISMODisculpateMikeSilvero…,Elisua,0,1,2021-06-21 00:21:49,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Si Jimin a mi también me dan pa.DisculpateABCCOLOR DisculpateMikeSilvero RACISMISNOTCOMEDY ,✦YAHIR✦ Inactivo no unf,0,1051,2021-06-20 23:59:42,0.0,0.0,neutral,0.0,1.0,0.0,0.0
📢¡ ATENCIÓN ARMY!En vista   no hemos recibido ninga respuesta hemos tomado  ción  mandar correo a …,✦YAHIR✦ Inactivo no unf,0,445,2021-06-20 23:33:48,0.0,0.0,negative,0.106,0.894,0.0,-0.3595
disculpateABCCOLORdisculpateMikerveroBTS son s mejores  mí y  ARMY 💜🌻,Lucia Maltos,0,1,2021-06-20 23:32:28,0.0,0.0,neutral,0.0,1.0,0.0,0.0
disculpateABCCOLORdisculpateMikerveroBTS son s mejores  mí y  ARMY 💜🌻,Elia,1,1,2021-06-20 23:26:50,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Si no pues respetar ni quiera habrás  boca - Namjoon RACISMISNOTCOMEDYApogizeABCCOLOR ApogizeMikeSilve…,Kyorelly,0,879,2021-06-20 23:14:17,0.0,0.0,negative,0.136,0.864,0.0,-0.296
abc su éxito es manipudo bts   DisculpateABCCOLOR ,⟬⟭ᴮᴱNJCruz⁷⟭⟬🌱🕊,0,6468,2021-06-20 23:12:27,0.0,0.0,neutral,0.0,1.0,0.0,0.0
JIMIN Y Becky g dijeron  La gte  crítica mplemte me da pa. La Rap líne dijeron  Ustes vidioso re…,⟬⟭ᴮᴱNJCruz⁷⟭⟬🌱🕊,0,35,2021-06-20 23:11:26,0.0,0.0,neutral,0.0,1.0,0.0,0.0
abc su éxito es manipudo bts   DisculpateABCCOLOR ,Valentina💛,0,6468,2021-06-20 22:58:03,0.0,0.0,neutral,0.0,1.0,0.0,0.0
No soy army   asco  exista gte a. La xofobia no es humor. no son muy buos    hac BTS  bo…,Mari 🇨🇴// Namu 📚🌱,0,463,2021-06-20 22:43:00,0.0,0.0,negative,0.202,0.734,0.064,-0.5423
— “Piso  todas s personas merec r respetadas por  mple hecho  existir - Kim NamjoonDisculpateMike…,11.11,0,120,2021-06-20 22:38:39,0.0,0.35714285714285715,neutral,0.0,1.0,0.0,0.0
Els son personas  han luchado s  inicio por alcanzar sus sueños no  han tido fácil   han grado m…,Novaly,0,4,2021-06-20 22:35:57,0.0,0.0,negative,0.087,0.913,0.0,-0.296
WTF!!!????! LO ÚNICO QUE EXIGIMOS ES  DISCULPA Y QUE BORREN LA NOTA ACASO ES MUY DIFÍCIL HACERLO!!!??? JODANSE TODO…,Novaly,0,124,2021-06-20 22:34:55,-1.0,1.0,neutral,0.0,1.0,0.0,0.0
Con respecto al artícu redactado por exigimos  a removido y  disculp por haber hecho tal acus…,🍊La princesa de Gloss⁷🍊,0,1563,2021-06-20 22:30:47,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Esto ya esta esta llegando maado lejos exijimos   borre todos s articus es y BH tome medidas legales…,🍊La princesa de Gloss⁷🍊,0,3603,2021-06-20 22:29:33,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Que paso al final? No le hicieron nada a  no val había do DisculpateABCCOLOR ApogizeABCCOLOR DisculpateMikeSilvero,DarkLucas6108,1,0,2021-06-20 22:29:15,0.0,1.0,negative,0.239,0.761,0.0,-0.5267
No esto no es a broma.RACISMISNOTCOMEDYApogizeMikeSilveroEXIGIMOS  DISCULPADisculpateABCCOLORABC Cor Par…,🦋𝙈𝙚𝙧𝙮⁷,0,283,2021-06-20 22:21:51,0.0,0.0,negative,0.227,0.773,0.0,-0.5267
Está mas  cro  s chicos jamás necetaron vr mercancía por su éxito empre vino so no necetaron …,Namduls♡,0,1,2021-06-20 22:02:59,0.0,0.0,negative,0.095,0.905,0.0,-0.296
a  vta s  albumes  s mdiales  futbolEuroRutaBictariaCaraboboDisculpateABCCOLORLokiJ…,Yauri Sivira,0,1,2021-06-20 20:49:15,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Es  tga  cuta  s chicos ya ti a ley  s cubra  este tipo  cosas so estamos pidido u…,Alexaa salvando el semestre (no unf),0,201,2021-06-20 20:40:42,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Son só  chicos  están cumplido sus sueños....pq  odio y s burs? Ya berían  aprr a RESPETARLOSarmy…,lu. 🧈,0,5,2021-06-20 20:34:25,0.0,0.0,neutral,0.0,1.0,0.0,0.0
abc su éxito es manipudo bts   DisculpateABCCOLOR ,ᵏᵃᶜᶜʰᵃⁿ☁︎,0,6468,2021-06-20 20:29:46,0.0,0.0,neutral,0.0,1.0,0.0,0.0
  Hermoso tae por otro do...DisculpateABCCOLOR DisculpateMikeSilvero ApogizeABCCOLOR ApogizeMikeSilvero PYARMYSUPPORTSBTS ,Army💜,2,0,2021-06-20 19:49:28,0.0,0.0,neutral,0.0,1.0,0.0,0.0
 DisculpateMikeSilvero ApogizeMikeSilvero DisculpateABCCOLORApogizeABCCOLOR   Disculpate👿,Army💜,1,0,2021-06-20 19:33:02,0.0,0.0,neutral,0.0,1.0,0.0,0.0
“nuestros fans recib muchas críticas so por r fans  idols  son realmte grans personas do honesto…,GiLi,0,1941,2021-06-20 19:22:33,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Exigimos a disculpa!!!Esto no  pue dar así remos respeto.DisculpateMikeSilvero DisculpateABCCOLOR ,Mandarinadeyoongi,0,36,2021-06-20 19:11:25,0.0,0.0,negative,0.17,0.83,0.0,-0.4724
“Si no pues respetar ni quiera abras  boca”-Kim Namjoon ApogizeMikeSilvero DisculpateMikeSilvero EXIGIMOS …,Mandarinadeyoongi,0,74,2021-06-20 19:10:10,0.0,0.0,negative,0.128,0.872,0.0,-0.296
JIMIN Y Becky g dijeron  La gte  crítica mplemte me da pa. La Rap líne dijeron  Ustes vidioso rtido…,Mandarinadeyoongi,0,145,2021-06-20 19:08:05,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Una vez  k-army hace  poble   todo llegue a s noticias coreanas s  causaron dichos problemas ya no tie…,Luly95,0,66,2021-06-20 18:46:09,0.0,0.0,negative,0.087,0.913,0.0,-0.296
Wtf con este hombre primero tira basura a Bts y spués utiliza a canción  s chicos -pisa  utilizando a…,Luly95,0,110,2021-06-20 18:45:57,-0.5,1.0,negative,0.16,0.84,0.0,-0.5859
!!EXIGIMOS  DISCULPA!!   xofobia no es humor ni opinión !!! EXIGIMOS  DISCULPA!!!!! ElRacismoNoEsLiberta…,Luly95,0,147,2021-06-20 18:43:09,0.0,0.0,negative,0.165,0.733,0.103,-0.3111
JIMIN Y Becky g dijeron  La gte  crítica mplemte me da pa. La Rap líne dijeron  Ustes vidioso rtido…,Luly95,0,145,2021-06-20 18:43:04,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Esto ya esta esta llegando maado lejos exijimos   borre todos s articus es y BH tome medidas legales…,Luly95,0,3603,2021-06-20 18:42:37,0.0,0.0,neutral,0.0,1.0,0.0,0.0
🖋️EJ Exigimos a    articu a removido pedimos   disculp. DisculpateABCCOLOR ApogizeABC…,Luly95,0,13,2021-06-20 18:42:28,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Aceptamos humilmte s críticas y s juicios  no permaneceremos  lcio ante  irracional   sociedad nos oponemos a  discriminación racial tu y yo temos  recho a r respetados mantgamos idosDisculpateABCCOLOR DisculpateMikeSilvero BTSARMY,Yuridia,1,0,2021-06-20 18:35:20,0.0,0.0,negative,0.062,0.937,0.0,-0.296
RciaMikeSilvero Exigo  rcia  Mike Silvero! Por dar  discurso  odio hacia bts y army! Que c  profeonal contratan?! Que verguza y falta  profeonalismo! RciaMikeSilvero DisculpateMikeSilvero DisculpateABCCOLOR,Yuridia,1,0,2021-06-20 18:33:30,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Deberian spedir a todas s personas  hicieron y aprobaron  reportaje ya basta d…,Yuridia,0,3,2021-06-20 18:32:51,0.0,0.0,neutral,0.0,1.0,0.0,0.0
EXIJAMOS  DISCULPA! Por parte  ABC COLOR y Mike Silverio esto es a grandíma ofsa ya están grans  anda…,Yuridia,0,3,2021-06-20 18:31:55,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Hey! Buos días 🙆🏽‍♀️ Soy yo o es  bu día  bajarle  cuta a Mike Silverio? So digo... 🏃🏽‍♀️🏃🏽‍♀️Rci…,Yuridia,0,4,2021-06-20 18:31:34,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Tgo  años  paso  r adulta no estoy amorada  s aprecio y admiro a esos chicos  me sacaron  mis peor…,Yuridia,0,54,2021-06-20 18:31:05,0.0,0.0,negative,0.084,0.916,0.0,-0.296
Una vez  k-army hace  poble   todo llegue a s noticias coreanas s  causaron dichos problemas ya no tie…,Yuridia,0,66,2021-06-20 18:31:05,0.0,0.0,negative,0.087,0.913,0.0,-0.296
Respetaré tu 'opinión'  cuando está no le falte  respeto a nadie. Así  antes  habr no es necesario cir todo   p…,Yuridia,0,73,2021-06-20 18:31:04,0.0,0.0,negative,0.155,0.845,0.0,-0.5267
Cálle ñor y escuché a mi dios rapeando y respete  da pa aja DisculpateMikeSilveroApogizeMikeSilveroNUNCAMASSOMOSGENDisculpateABCCOLOR ApogizeABCCOLOR ,Yuridia,1,0,2021-06-20 18:29:11,0.0,0.0,neutral,0.0,1.0,0.0,0.0
VEN? HASTA ELLOS LO SABEN SABEN QUE SOMOS CAPACES DE DEFENDERLOS  Y UN MILLÓN DE VECES SABEN QUE SOMOS CAPACES DE DEJAR QUE NOS LASTIMEN A NOSOT ANTES QUE A ELLOS!!! EXIGIMOS  DISCULPA!!!!ElRacismoNoEsLibertadDeExpreon DisculpateABCCOLOR DisculpateMikeSilvero,Yuridia,1,0,2021-06-20 18:29:11,0.0,0.0,neutral,0.0,1.0,0.0,0.0
EXIGIMOS  DISCULPA!EL RACISMO Y MENOSPRECIAR EL TRABAJO DE ALGUIEN NO ES  OPINIÓN.DisculpateMikeSilvero RACISMISNOTCOMEDY DisculpateABCCOLOR  ,Yuridia,1,0,2021-06-20 18:28:58,0.0,0.0,negative,0.152,0.848,0.0,-0.4981
JIMIN Y Becky g dijeron  La gte  crítica mplemte me da pa. La Rap líne dijeron  Ustes vidioso rtidos berían aprr a rer.EXIGIMOS  DISCULPA! DisculpateMikeSilveroDisculpateABCCOLOR RACISMISNOTCOMEDY ,Yuridia,1,0,2021-06-20 18:24:34,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Gracias a esta k-army  noticia llego a s fans coreanas quies ya  estan informando y pezando a difdir!!!discu…,🍊connie🍊,0,9,2021-06-20 18:19:05,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Armys  todo  mdo  estan ido contra  difamación  revieron s chicos por  parte  ABC me lla  orgul s…,Yuridia,0,27,2021-06-20 18:18:37,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Armys  todo  mdo  están ido contra  difamación  revieron s chicos por parte  ABC me lla  orgul r  este fandom y calrles s bocas a esos ignorantesDisculpateABCCOLOR DisculpateMikeSilvero NUNCAMASSOMOSGEN ApogizeABCCOLOR,Yuridia,3,0,2021-06-20 18:17:57,0.0,0.0,neutral,0.0,1.0,0.0,0.0
JIMIN Y Becky g dijeron  La gte  crítica mplemte me da pa. La Rap líne dijeron  Ustes vidioso rtido…,Suemyli,0,145,2021-06-20 17:58:40,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Vido s comtarios me doy cuta  ti tan normalizado  hate hacia BS  cuando algui hace comt…,☁︎ 𝑱𝒆𝒂𝒏𝒏𝒆𝒕𝒕𝒆 ☁︎ ➪𝔹𝕦𝕥𝕥𝕖𝕣 🧈,0,5,2021-06-20 17:43:13,-0.8,0.9,negative,0.15,0.85,0.0,-0.5719
❗COPIEN Y PEGUEN PARA HACER TENDENCIA❗EXIGIMOS  DISCULPA ESTO ES  PROFESIONALISMODisculpateMikeSilveroDisculpat…,SugaMoa 🇨🇴 🧈❄,0,726,2021-06-20 16:49:53,0.0,0.0,neutral,0.0,1.0,0.0,0.0
No esto no es a broma.RACISMISNOTCOMEDYApogizeMikeSilveroEXIGIMOS  DISCULPADisculpateABCCOLORABC Cor Par…,𝒚𝒖𝒖⁷,0,283,2021-06-20 16:22:45,0.0,0.0,negative,0.227,0.773,0.0,-0.5267
 EXIGIMOS  DISCULPA!!DisculpateMikeSilveroDisculpateABCCOLORElRacismoNoEsLibertadDeExpreonRacismIsNotFreedomOfExpreson ApogizeABCCOLOR,ꨄ︎𝐽𝑒𝑟𝑖𝑖~𝑙𝑒𝑒ꨄ︎,1,0,2021-06-20 16:19:53,0.0,0.0,neutral,0.0,1.0,0.0,0.0
EXIGIMOS  DISCULPA!! por parte  Abc cor y Mike lveroDisculpateMikeSilveroDisculpateABCCOLOREl…,Jazz 😘💜,0,6,2021-06-20 16:16:13,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Los chicos  dijeron hace tan so os días   muster.RACISMISNOTCOMEDYApogizeABCCOLOR ApogizeMikeSilvero…,K,0,1636,2021-06-20 15:18:08,0.0,0.0,neutral,0.0,1.0,0.0,0.0
JIMIN Y Becky g dijeron  La gte  crítica mplemte me da pa. La Rap líne dijeron  Ustes vidioso rtido…,alexa,0,145,2021-06-20 13:06:43,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Wtf con este hombre primero tira basura a Bts y spués utiliza a canción  s chicos -pisa  utilizando a…,soledad,0,110,2021-06-20 12:52:30,-0.5,1.0,negative,0.16,0.84,0.0,-0.5859
Wtf con este hombre primero tira basura a Bts y spués utiliza a canción  s chicos -pisa  utilizando a…,🍥~Sхғтι_вeαr~🍥,0,110,2021-06-20 12:35:18,-0.5,1.0,negative,0.16,0.84,0.0,-0.5859
“Si no pues respetar ni quiera abras  boca”-Kim Namjoon ApogizeMikeSilvero DisculpateMikeSilvero EXIGIMOS …,Dani 🥰💜,0,74,2021-06-20 10:28:14,0.0,0.0,negative,0.128,0.872,0.0,-0.296
“nuestros fans recib muchas críticas so por r fans  idols  son realmte grans personas do honesto…,🌼🐈,0,1941,2021-06-20 08:20:14,0.0,0.0,neutral,0.0,1.0,0.0,0.0
 Si crees q tus supuestas disculpas s tomamos  rio estas mal fue a bur total es increible   comicador pueda ter tanta xofobia te cugas   fama  BTS y  ARMY quit su nota amarillista. DisculpateMikeSilveroDisculpateABCCOLOR,Itzel Romo,5,0,2021-06-20 07:48:45,0.0,0.75,neutral,0.0,1.0,0.0,0.0
 próxima no hable antes n estar informado y  verdad me importa a m*erda   tú digas por prefiero. Seguir a s chinos esos  dices  a a persona  tú n respeto ni moral.okDisculpateABCCOLORDisculpateMikeSilvero,Laura,4,0,2021-06-20 07:27:04,0.0,0.0,negative,0.217,0.783,0.0,-0.8555
Y  disculpo o no esté tipo?El racismo no es ni libertad  expreón ni humor.Queremos a disculpa.DisculpateMikeSilveroDisculpateABCCOLORElRacismoNoEsLibertadDeExpreonRacismIsNotFreedomOfExpresonApogizeMikeSilvero NUNCAMASSOMOSGEN ApogizeABCCOLOR,❣️Yasodhara🦋💕🇲🇽,1,0,2021-06-20 07:21:14,0.0,0.0,negative,0.154,0.772,0.074,-0.3182
No había visto  vío completo y ahora estoy aún más ojadaEXIGIMOS  DISCULPA AHORA!!Disculpat…,shaila,0,3,2021-06-20 07:09:36,0.0,0.0,negative,0.128,0.872,0.0,-0.4184
Créditos  DisculpateMikeSilveroApogizeMikeSilveroRACISMISNOTCOMEDYDisculpateABCCOLOR ApogizeABCC…,shaila,0,20,2021-06-20 07:09:17,0.0,0.0,neutral,0.0,1.0,0.0,0.0
[⚠️] Una K-ARMY hizo a traducción l vío don  hace comtarios maliciosos y sagradables  s chicos!…,shaila,0,451,2021-06-20 07:09:12,-0.75,1.0,neutral,0.0,1.0,0.0,0.0
+ Todos s medios periodísticos  acusaron e hicieron dar a bts  tramposos  lugar  nformar berían repli…,Amayrany Monzón,0,1249,2021-06-20 06:47:47,0.0,0.0,neutral,0.0,1.0,0.0,0.0
